category,document
__label__식품, 요기요
__label__교통, 카카오택시
__label__여가, PC방
__label__고정지출, 영남 에너지 서비스
__label__쇼핑, 무신사
__label__고정지출, 에스케이브로드밴드주
__label__식품, 배달의민족
__label__식품, 피자나라 치킨 공주
__label__식품, 지코바양념치킨
__label__식품, BHC
__label__식품, MEGA MGC COFFEE
__label__식품, 보배반점
__label__식품, 디저트
__label__식품, 교촌치킨
__label__식품, 텐퍼센트스페셜티커피
__label__식품, 79파운야드
__label__식품, 아주커 치킨
__label__식품, 반올림피자샵
__label__식품, 한솥
__label__식품, 가마로강정
__label__식품, 라무진
__label__식품, 굽네치킨
__label__식품, 커스텀커피
__label__식품, 마왕 족발
__label__식품, 최고당 돈가스
__label__식품, BBQ
__label__식품, 김순덕원조부안집
__label__식품, 원할머니
__label__식품, 곱분이곱창
__label__식품, 선비꼬마김밥
__label__식품, 달리는커피
__label__식품, 덮덮밥
__label__식품, 청년피자
__label__식품, 에그드랍
__label__식품, 이삭토스트
__label__식품, 고기극찬
__label__식품, 역전 할머니 맥주
__label__식품, 삼첩분식
__label__식품, 멕시카나
__label__식품, 맘스터치
__label__식품, 정직유부
__label__식품, 신전 떡 복이
__label__식품, 네네치킨
__label__식품, 배스킨라빈스
__label__식품, 자담치킨
__label__식품, 벌크커피
__label__식품, 미카도스시
__label__식품, 군자대한곱창
__label__식품, 서가앤쿡
__label__식품, 불닭발땡초동엽기떡볶이
__label__식품, 63계
__label__식품, 치킨더홈
__label__식품, 페리카나
__label__식품, 매머드 익스프레스
__label__식품, 땅스부대찌개
__label__식품, 써브웨이
__label__식품, 인생극장
__label__식품, 설동궁찜닭
__label__식품, 미소야
__label__식품, 본도시락
__label__식품, 설빙
__label__식품, 노브랜드 버거
__label__식품, 짬뽕 지존
__label__식품, 육대장
__label__식품, 인생닭강정
__label__식품, 맛찬들왕소금구이
__label__식품, 피자마루
__label__식품, 닥엔돈스
__label__식품, 본죽 비빔밥
__label__식품, 카페051
__label__식품, 세광양대창
__label__식품, 던킨 던킨도너츠
__label__식품, 오복오봉집
__label__식품, KFC
__label__식품, 고기듬뿍 대왕비빔밥
__label__식품, 더벤티
__label__식품, 국제통닭
__label__식품, 이비가짬뽕
__label__식품, 송주불냉면앤칼국수
__label__식품, 핵밥
__label__식품, 웅이네 오돌뼈
__label__식품, 빽다방
__label__식품, 채선당도시락 샐러드
__label__식품, 하남돼지집
__label__식품, 컴포즈커피
__label__식품, 수유리우동집
__label__식품, 경 양 카츠
__label__식품, 구구족
__label__식품, 크리스피크림
__label__식품, 우리할매 떡볶이
__label__식품, 걸작떡볶이치킨
__label__식품, 청년다방
__label__식품, 족발양시장
__label__식품, 정통집
__label__식품, 더리터
__label__식품, 자가 제빵 희 피자
__label__식품, 라라코스트
__label__식품, 공차
__label__식품, 얌샘김밥
__label__식품, 남다른감자탕
__label__식품, 송담추어탕
__label__식품, 달토끼의 떡볶이 흡입구역
__label__식품, 막창도둑
__label__식품, 이디야커피
__label__식품, 빅스타피자
__label__식품, 맛닭꼬
__label__식품, 담소 소사골 순대 육개장
__label__식품, 땡겨요
__label__식품, 쿠팡이츠
__label__교통, 카카오모빌리티
__label__교통, 체크 후불 교통 출금
__label__교통, 카카오페이 택시
__label__고정지출, 전기료
__label__고정지출, LGU+ 인터넷
__label__식품, 유 CU
__label__식품, 지 에스 GS
__label__식품, 세븐일레븐
__label__식품, 이마트24
__label__식품, 투썸플레이스
__label__식품, 스타벅스
__label__식품, 메가커피
__label__식품, 폴바셋
__label__식품, 파스쿠찌
__label__식품, 커피빈
__label__식품, 할리스
__label__식품, 매머드 커피
__label__식품, 카페베네
__label__식품, 탐앤탐스
__label__식품, 달콤커피
__label__식품, 커피베이
__label__식품, 커피에반하다
__label__식품, 커피나무
__label__식품, 커피스미스
__label__식품, 드롭탑
__label__식품, 만랩커피
